"Tank #","Facility ID",Capacity,Status,Substance,"Tank Material","Date Installed",Atg,Delete
3,3-080005,5000,Closure,"Regular Gasoline",Unknown,12/22/1988, ,
1,3-080006,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1978, ,
2,3-080006,2000,Closure,Kerosene,"Asphalt Coated or Bare Steel",01/01/1978, ,
1,3-080007,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",06/01/1976, ,
2,3-080007,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",06/01/1976, ,
3,3-080007,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",03/01/1982, ,
1,3-080008,3000,Closure,Diesel,"Asphalt Coated or Bare Steel",10/01/1983, ,
2,3-080008,3000,Closure,Diesel,"Asphalt Coated or Bare Steel",10/01/1983, ,
3,3-080008,3000,Closure,Gasohol,"Asphalt Coated or Bare Steel",10/01/1983, ,
4,3-080008,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",10/01/1983, ,
1,3-080009,5000,Active,Diesel,"Fiberglass Reinforced Plastic",04/26/1999, ,
2,3-080009,5000,Active,"E10 Premium","Fiberglass Reinforced Plastic",04/26/1999, ,
3,3-080009,10000,Active,"E10 Regular","Fiberglass Reinforced Plastic",04/26/1999, ,
4,3-080009,1000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
5,3-080009,1000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-080010,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1972, ,
2,3-080010,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",06/01/1972, ,
1,3-080011,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1981, ,
2,3-080011,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1981, ,
1,3-080012,575,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1980, ,
2,3-080012,575,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1980, ,
1,3-080013,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-080013,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-080013,3000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1982, ,
1,3-080014,2000,Closure,Diesel,Unknown,06/01/1980, ,
1,3-080015,10000,Active,"Offroad Diesel","Fiberglass Reinforced Plastic",07/01/1997,3,
2,3-080015,6000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",07/01/1997,2,
3,3-080015,4000,Active,Diesel,"Fiberglass Reinforced Plastic",07/01/1997,1,
4,3-080015,2500,Active,Diesel,"Asphalt Coated or Bare Steel",08/01/1969, ,
5,3-080015,2500,Active,Diesel,"Asphalt Coated or Bare Steel",08/01/1969, ,
6,3-080015,2500,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",09/01/1969, ,
7,3-080015,2500,Active,Diesel,"Asphalt Coated or Bare Steel",07/01/1978, ,
8,3-080015,2500,Active,Diesel,"Asphalt Coated or Bare Steel",12/01/1979, ,
1,3-080016,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
1,3-080017,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1980, ,
2,3-080017,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1966, ,
4,3-080017,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
1,3-080018,2500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1983, ,
2,3-080018,1500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1983, ,
3,3-080018,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",08/01/1983, ,
4,3-080018,500,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
4,3-080020,500,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1973, ,
5,3-080020,3000,Active,"Regular Gasoline",Unknown,01/01/1976, ,
1A,3-080020,2000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",11/05/1996, ,
1B,3-080020,1000,Active,"E10 Regular","Composite (Steel w/ FRP)",11/05/1996, ,
1C,3-080020,1000,Active,Diesel,"Composite (Steel w/ FRP)",11/05/1996, ,
1,3-080021,250,Closure,Diesel,Unknown,01/01/1960, ,
2,3-080021,2500,Closure,Kerosene,Unknown,01/01/1960, ,
3,3-080021,1500,Closure,Kerosene,Unknown,01/01/1960, ,
1,3-080022,1000,Closure,"Regular Gasoline",Unknown,01/01/1961, ,
2,3-080022,4000,Closure,"Regular Gasoline",Unknown,01/01/1961, ,
1,3-080023,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,3-080023,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
3,3-080023,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,3-080024,2500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1937, ,
2,3-080024,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1946, ,
3,3-080024,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1957, ,
1,3-080025,10000,Active,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",12/22/1988, ,
2,3-080025,5000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-080025,5000,Active,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
4,3-080025,5000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
5,3-080025,5000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-080026,12000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",05/01/1988, ,
2,3-080026,10000,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",05/01/1988, ,
1,3-080027,1500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1970, ,
2,3-080027,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1970, ,
1,3-080601,500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1979, ,
1,3-080602,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1958, ,
2,3-080602,12000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1958, ,
3,3-080602,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-080604,1000,Closure,"Regular Gasoline",Unknown,01/01/1961, ,
2,3-080604,1000,Closure,"Regular Gasoline",Unknown,01/01/1961, ,
1,3-080605,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,3-080606,15000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1974, ,
2,3-080606,15000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1974, ,
3,3-080606,15000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
4,3-080606,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-080608,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-080608,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-080608,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-080609,2000,Closure,Diesel,"Not Listed",12/22/1988, ,
1,3-080610,20000,Active,"E10 Regular","Fiberglass Reinforced Plastic",04/01/2000, ,
2,3-080610,10000,Active,"E10 Premium","Fiberglass Reinforced Plastic",04/01/2000, ,
3,3-080610,5000,Active,Diesel,"Fiberglass Reinforced Plastic",04/01/2000, ,
1A,3-080611,2000,Active,Empty,"Composite (Steel w/ FRP)",06/01/2000, ,
1B,3-080611,2000,Active,Empty,"Composite (Steel w/ FRP)",06/01/2000, ,
1C,3-080611,2000,Active,Empty,"Composite (Steel w/ FRP)",06/01/2000, ,
1,3-080613,3000,Active,Diesel,"Fiberglass Reinforced Plastic",05/06/2002, ,
2,3-080613,3000,Active,"Offroad Diesel","Fiberglass Reinforced Plastic",05/06/2002, ,
3,3-080613,3000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",05/06/2002, ,
1A,3-080615,3000,Active,"E10 Regular","Composite (Steel w/ FRP)",07/01/2003,1,
1B,3-080615,2000,Active,Diesel,"Composite (Steel w/ FRP)",07/01/2003,2,
1,3-080616,1000,Closure,Diesel, ,12/22/1988, ,
2,3-080616,1000,Closure,"Regular Gasoline", ,12/22/1988, ,
1,3-140001,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
1,3-140002,12000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
2,3-140002,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
3,3-140002,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1981, ,
4,3-140002,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1981, ,
5,3-140002,12000,Closure,"New Motor Oil","Asphalt Coated or Bare Steel",01/01/1981, ,
6,3-140002,1000,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1981, ,
7,3-140002,1000,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1981, ,
1,3-140003,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
2,3-140003,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1973, ,
3,3-140003,400,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1983, ,
4,3-140003,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1981, ,
5,3-140003,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1981, ,
6,3-140003,10000,Closure,Other,"Cathodically Protected Steel (Impressed Current)",01/01/1986, ,
7,3-140003,5000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1986, ,
8,3-140003,50000,Closure,Other,"Cathodically Protected Steel (Impressed Current)",01/01/1986, ,
9,3-140003,50000,Closure,Other,"Cathodically Protected Steel (Impressed Current)",01/01/1986, ,
10,3-140003,50000,Closure,Other,"Cathodically Protected Steel (Impressed Current)",01/01/1986, ,
11,3-140003,50000,Closure,Other,"Cathodically Protected Steel (Impressed Current)",01/01/1986, ,
1,3-140004,425,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-140004,425,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-140005,19000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
2,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
3,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
4,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
5,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
6,3-140006,4000,Closure,Mixture,"Asphalt Coated or Bare Steel",01/01/1981, ,
7,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
8,3-140006,4000,Closure,Mixture,"Asphalt Coated or Bare Steel",01/01/1981, ,
9,3-140006,4000,Closure,Other,"Asphalt Coated or Bare Steel",01/01/1981, ,
10,3-140006,4000,Closure,Mixture,"Asphalt Coated or Bare Steel",01/01/1981, ,
11,3-140006,4000,Closure,Other,"Asphalt Coated or Bare Steel",01/01/1981, ,
12,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
13,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
14,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
15,3-140006,4000,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1981, ,
16,3-140006,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1981, ,
17,3-140006,5000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1981, ,
18,3-140006,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1981, ,
1,3-140007,1000,Closure,Diesel,"Fiberglass Reinforced Plastic",01/01/1979, ,
2,3-140007,550,Closure,Diesel,"Fiberglass Reinforced Plastic",01/01/1984, ,
3,3-140007,500,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1979, ,
1,3-140008,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
2,3-140008,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
3,3-140008,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
4,3-140008,500,Closure,Diesel,"Not Listed",01/01/1968, ,
5,3-140008,500,Closure,"Regular Gasoline","Not Listed",01/01/1958, ,
6,3-140008,500,Closure,"Regular Gasoline","Not Listed",01/01/1958, ,
1,3-140009,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",04/01/1973, ,
2,3-140009,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",04/01/1973, ,
1,3-140010,10000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",10/01/1973, ,
2,3-140010,10000,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",10/01/1973, ,
3,3-140010,15000,Active,"E10 Regular","Fiberglass Reinforced Plastic",06/29/2017,1,
4,3-140010,10000,Active,"E10 Premium","Fiberglass Reinforced Plastic",06/29/2017,2,
5,3-140010,10000,Active,Diesel,"Fiberglass Reinforced Plastic",06/29/2017,3,
1,3-140011,10000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",04/01/1970, ,
2,3-140011,5000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",04/01/1970, ,
1,3-140012,20000,Active,"E10 Regular","Fiberglass Reinforced Plastic",11/01/2000,1,
4,3-140012,10000,Active,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",12/01/1971, ,
5,3-140012,10000,Active,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",12/01/1971, ,
2A,3-140012,15000,Active,"E10 Premium","Fiberglass Reinforced Plastic",11/01/2000,2,
2B,3-140012,7000,Active,Diesel,"Fiberglass Reinforced Plastic",11/01/2000,3,
1,3-140013,10000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",11/01/1972,1,
2,3-140013,10000,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",11/01/1972,2,
1,3-140014,10000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",12/01/1972, ,
2,3-140014,10000,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",12/01/1972, ,
3,3-140014,20000,Active,"E10 Regular","Fiberglass Reinforced Plastic",12/06/2019,1,
4,3-140014,10000,Active,"E10 Premium","Fiberglass Reinforced Plastic",12/06/2019,2,
5,3-140014,10000,Active,Diesel,"Fiberglass Reinforced Plastic",12/06/2019,3,
6,3-140014,10000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",12/06/2019,4,
1,3-140015,10000,Active,"E10 Regular","Fiberglass Reinforced Plastic",07/01/1984,1,
2,3-140015,10000,Active,"E10 Premium","Fiberglass Reinforced Plastic",07/01/1984,2,
3,3-140015,10000,Active,Diesel,"Fiberglass Reinforced Plastic",07/01/1984,3,
1,3-140016,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,3-140016,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
1,3-140017,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1983, ,
1,3-140018,570,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1965, ,
2,3-140018,300,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1965, ,
1,3-140019,10000,Closure,"Regular Gasoline",Unknown,01/01/1980, ,
2,3-140019,700,Closure,"Regular Gasoline",Unknown,01/01/1978, ,
3,3-140019,2570,Closure,"Regular Gasoline",Unknown,01/01/1978, ,
4,3-140019,1000,Closure,"Regular Gasoline",Unknown,01/01/1978, ,
5,3-140019,1000,Closure,"Regular Gasoline",Unknown,01/01/1978, ,
1,3-140020,12000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
1,3-140021,1000,Closure,"Regular Gasoline",Unknown,12/22/1988, ,
2,3-140021,1000,Closure,"Regular Gasoline",Unknown,12/22/1988, ,
3,3-140021,5000,Closure,"Regular Gasoline",Unknown,12/22/1988, ,
4,3-140021,5000,Closure,"Regular Gasoline",Unknown,12/22/1988, ,
1,3-140022,1000,Closure,"Regular Gasoline",Unknown,01/01/1972, ,
2,3-140022,1000,Closure,"Regular Gasoline",Unknown,01/01/1972, ,
1,3-140023,3000,Closure,Diesel,"Asphalt Coated or Bare Steel",02/01/1980, ,
1,3-140024,1000,Closure,"Regular Gasoline",Unknown,01/01/1984, ,
2,3-140024,1500,Closure,Diesel,Unknown,01/01/1984, ,
1,3-140025,11700,Closure,"Regular Gasoline","Cathodically Protected Steel (Galvanic)",01/01/1978, ,
2,3-140025,1700,Closure,"Regular Gasoline","Cathodically Protected Steel (Galvanic)",01/01/1978, ,
1,3-140026,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1969, ,
2,3-140026,5000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1966, ,
1,3-140027,20000,Closure,Diesel,Unknown,01/01/1976, ,
2,3-140027,10000,Closure,"Regular Gasoline",Unknown,01/01/1976, ,
1,3-140028,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",11/01/1978, ,
2,3-140028,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",11/01/1978, ,
3,3-140028,550,Closure,"Used Oil","Asphalt Coated or Bare Steel",11/01/1978, ,
1,3-140029,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
1,3-140031,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
2,3-140031,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
3,3-140031,10000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1971, ,
4,3-140031,10000,Closure,"Regular Gasoline","Epoxy Coated Steel",11/01/1988, ,
1,3-140032,12000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1982, ,
1,3-140033,300,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
1,3-140034,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
2,3-140034,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
1,3-140035,5000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",02/01/1999, ,
2,3-140035,2000,Active,"Regular Gasoline",Unknown,01/01/1980, ,
3,3-140035,2000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1983, ,
1,3-140036,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1936, ,
2,3-140036,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1936, ,
3,3-140036,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
4A,3-140036,4000,Closure,"Regular Gasoline","Cathodically Protected Steel (Galvanic)",09/30/1996, ,
4B,3-140036,4000,Closure,"Regular Gasoline","Cathodically Protected Steel (Galvanic)",09/30/1996, ,
1,3-140038,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1984, ,
2,3-140038,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1984, ,
3,3-140038,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1984, ,
1,3-140039,2000,Closure,"Hazardous Substance","Cathodically Protected Steel (Galvanic)",01/01/1985, ,
1,3-140040,1500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1975, ,
1,3-140041,6000,Closure,"Not Listed","Not Listed",01/01/1979, ,
2,3-140041,4000,Closure,"Not Listed","Not Listed",01/01/1980, ,
3,3-140041,1000,Closure,"Not Listed","Not Listed",09/01/1988, ,
4,3-140041,1000,Closure,"Not Listed","Not Listed",01/01/1971, ,
1,3-140042,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1969, ,
2,3-140042,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",08/01/1973, ,
1,3-140043,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1983, ,
1,3-140045,1000,Closure,Diesel,Unknown,01/01/1964, ,
2,3-140045,1000,Closure,Diesel,Unknown,01/01/1980, ,
3,3-140045,1000,Closure,Diesel,Unknown,01/01/1959, ,
1,3-140046,6000,Closure,"Regular Gasoline","Fiberglass Reinforced Plastic",01/01/1993, ,
2,3-140046,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1977, ,
3,3-140046,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1977, ,
4,3-140046,500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1977, ,
1,3-140047,2000,Active,Diesel,"Composite (Steel w/ FRP)",10/01/1991, ,
2,3-140047,300,Active,Diesel,"Asphalt Coated or Bare Steel",01/01/1956, ,
3,3-140047,2000,Active,Diesel,"Asphalt Coated or Bare Steel",01/01/1977, ,
1,3-140048,9000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",04/01/1982, ,
2,3-140048,500,Closure,Diesel,"Asphalt Coated or Bare Steel",05/31/1981, ,
1,3-140049,5000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1965, ,
1,3-140050,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-140050,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-140050,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
4,3-140050,500,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
6,3-140050,500,Closure,"Not Listed","Asphalt Coated or Bare Steel",12/22/1988, ,
7,3-140050,1000,Closure,"Used Oil","Asphalt Coated or Bare Steel",12/22/1988, ,
8,3-140050,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
9,3-140050,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-140052,1000,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1974, ,
1,3-140054,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1983, ,
2,3-140054,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1983, ,
4,3-140055,1000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
5,3-140055,1000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
1A,3-140055,8000,Active,"E10 Regular","Composite (Steel w/ FRP)",06/22/1998, ,
1B,3-140055,6000,Active,"E10 Premium","Composite (Steel w/ FRP)",06/22/1998, ,
1C,3-140055,6000,Active,Diesel,"Composite (Steel w/ FRP)",06/22/1998, ,
1,3-140056,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1986, ,
2,3-140056,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1977, ,
3,3-140056,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1977, ,
1,3-140057,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1979, ,
2,3-140057,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1979, ,
3,3-140057,1000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1971, ,
1,3-140058,8000,Closure,Diesel,Other,01/01/1982, ,
2,3-140058,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1982, ,
1,3-140059,20000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1965, ,
2,3-140059,3000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1965, ,
1,3-140060,12000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1976, ,
2,3-140060,5000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1976, ,
3,3-140060,5000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1976, ,
1,3-140061,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
2,3-140061,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
3,3-140061,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1969, ,
1,3-140065,1500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1956, ,
1,3-140066,12000,Active,"E10 Regular","Fiberglass Reinforced Plastic",09/30/1997,1,
2,3-140066,8000,Active,"E10 Premium","Fiberglass Reinforced Plastic",09/30/1997,2,
3,3-140066,6000,Active,Diesel,"Fiberglass Reinforced Plastic",09/30/1997,3,
4,3-140066,10000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1974, ,
5,3-140066,8000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1974, ,
6,3-140066,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1974, ,
1,3-140068,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
2,3-140068,400,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
1,3-140069,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
1,3-140070,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
1,3-140071,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1977, ,
2,3-140071,285,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
1,3-140072,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
2,3-140072,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
3,3-140072,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1974, ,
1,3-140073,4000,Closure,"E10 Premium","Cathodically Protected Steel (Impressed Current)",01/01/1973, ,
2,3-140073,10000,Closure,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1973, ,
3,3-140073,4000,Closure,Diesel,"Fiberglass Reinforced Plastic",02/24/2004, ,
4,3-140073,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
5,3-140073,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-140074,4000,Active,Diesel,"Asphalt Coated or Bare Steel",08/01/1979, ,
2,3-140074,4000,Active,Diesel,"Asphalt Coated or Bare Steel",08/01/1979, ,
3,3-140074,3000,Active,Gasohol,"Asphalt Coated or Bare Steel",08/01/1979, ,
4,3-140074,500,Active,"Used Oil","Asphalt Coated or Bare Steel",08/01/1979, ,
5A,3-140074,2000,Active,"E10 Regular","Composite (Steel w/ FRP)",06/01/1995,1,
5B,3-140074,4000,Active,Diesel,"Composite (Steel w/ FRP)",06/01/1995,2,
